"","StartDate","EndDate","Status","IPAddress","Progress","Duration__in_seconds_","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","edu","hispanic","race_1","race_2","race_3","race_4","race_5","race_6","race_6_TEXT","sex","income","state","age","reltrad","reltrad_14_TEXT","protestant_denom","protestant_denom_16_TEXT","baptist_church","baptist_church_11_TEXT","methodist_church","methodist_church_6_TEXT","nondenom_church","nondenom_church_6_TEXT","lutheran_church","lutheran_church_5_TEXT","presbyterian_church","presbyterian_church_7_TEXT","pentecostal_church","pentecostal_church_10_TEXT","episc_church","episc_church_5_TEXT","christian_church","christian_church_4_TEXT","congr_church","congr_church_4_TEXT","holiness_church","holiness_church_7_TEXT","reformed_church","reformed_church_3_TEXT","adventist_church","adventist_church_4_TEXT","catholic_church","catholic_church_6_TEXT","mormon_church","mormon_church_3_TEXT","orthodox_church","orthodox_church_7_TEXT","jewish_group_","jewish_group__5_TEXT","muslim","muslim_4_TEXT","buddhist","buddhist_4_TEXT","hindu","hindu_4_TEXT","ideology","partyid7_","Q146","Q51","Q52","Q119","Q92","Q93","Q94","Q95","Q104","Q104_DO_1","Q104_DO_2","Q104_DO_3","Q104_DO_4","Q106","Q106_DO_1","Q106_DO_2","Q106_DO_3","Q106_DO_4","Q105","Q105_DO_1","Q105_DO_2","Q105_DO_3","Q105_DO_4","Q165","Q57","Q56","Q121","Q69","Q72","Q73","Q74","Q75","Q76","Q70","Q71","Q77","Q78","Q79","Q80","Q81","Q82","Q83","Q84","Q85","Q86","Q87","Q88","Q89","Q90","Q136","Q157","Q155","Q137","Q148","Q138","Q150","Q151","Q152","Q153","Q166","commitment_Israel","proportion_Zionist","SC0","opp","QPMID","Q_TotalDuration","Q_RecaptchaScore","Q_BallotBoxStuffing","Q_RelevantIDFraudScore","Q_RelevantIDDuplicate","Q_RelevantIDDuplicateScore","transaction_id","SVID","region","reindex","gc","term","score_state","tg","pureSpectrumRedirectUrl","pureSpectrumSignatureValue","Countryfavorability_DO_Q93","Countryfavorability_DO_Q94","Countryfavorability_DO_Q92","Countryfavorability_DO_Q95","Countryfavorability_DO_Q91","Conflictknowledge_DO_Q103","Conflictknowledge_DO_Q104","Conflictknowledge_DO_Q106","Conflictknowledge_DO_Q105","Conflictknowledge_DO_Q165","PoliticalViews_DO_Q57","PoliticalViews_DO_Q56","PoliticalViews_DO_Q140","Treatments_DO_historic_religious","Treatments_DO_Q125","Treatments_DO_security_democracy","Treatments_DO_hr_double_standard","Treatments_DO_Q143","Treatments_DO_technology_leader","Treatments_DO_safety_persecution","Anti_IsraelSentiment_DO_Q72","Anti_IsraelSentiment_DO_Q147","Anti_IsraelSentiment_DO_Q69","Anti_IsraelSentiment_DO_Q76","Anti_IsraelSentiment_DO_Q75","Anti_IsraelSentiment_DO_Q74","Anti_IsraelSentiment_DO_Q73","ClassicAntisemitismIndex_DO_Q83","ClassicAntisemitismIndex_DO_Q82","ClassicAntisemitismIndex_DO_Q81","ClassicAntisemitismIndex_DO_Q80","ClassicAntisemitismIndex_DO_Q90","ClassicAntisemitismIndex_DO_Q79","ClassicAntisemitismIndex_DO_Q123","ClassicAntisemitismIndex_DO_Q78","ClassicAntisemitismIndex_DO_Q89","ClassicAntisemitismIndex_DO_Q77","ClassicAntisemitismIndex_DO_Q88","ClassicAntisemitismIndex_DO_Q87","ClassicAntisemitismIndex_DO_Q86","ClassicAntisemitismIndex_DO_Q85","ClassicAntisemitismIndex_DO_Q84","DVs_DO_Q136","DVs_DO_Q137","DVs_DO_Q148","DVs_DO_Q138","DVs_DO_Q155","DVs_DO_Q157","DVs_DO_Q142","JewishZionism_Pro_Israel_DO_Prompt","JewishZionism_Pro_Israel_DO_Q150","JewishZionism_Pro_Israel_DO_Q151","Non_JewishZionist_Pro_Israel_DO_Q152","Non_JewishZionist_Pro_Israel_DO_Q153","JewishAssociationTreatments_DO_Q149","JewishAssociationTreatments_DO_observant_Jew","JewishAssociationTreatments_DO_non_Evangelical","JewishAssociationTreatments_DO_zionist_christian","JewishAssociationTreatments_DO_Q166","JewishAssociationTreatments_DO_technically_Jew","JewishAssociationTreatments_DO_culturally_Jew","JewishAssociationQuestions_DO_commitment_Israel","JewishAssociationQuestions_DO_proportion_Zionist","pid","ideol","wts"
"1",2023-06-06 16:01:15,2023-06-06 16:06:38,0,"70.127.143.120",100,322,1,2023-06-06 16:06:39,"R_1qWAPEt4P2g61gV","","","","","27.8407","-82.7155","anonymous","EN",6,2,1,NA,NA,NA,NA,NA,"",2,10,10,36,5,"",16,"Non denomonational",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",3,4,5,2,NA,7,2,4,3,3,1,1,2,3,4,1,1,2,3,4,1,1,2,3,4,4,3,3,4,4,5,2,2,1,2,3,NA,2,2,1,2,2,2,3,2,2,2,1,3,4,3,3,2,2,2,2,2,NA,2,NA,2,1,2,NA,3,"Qual2515-0424-GenPop4K[ND]","17035","322","","","","","","3fisMORBMwrTMc00wjTUQH","15311673","south","","1","","","","https://api.spectrumsurveys.com/surveydone?st=21&transaction_id=3fisMORBMwrTMc00wjTUQH&ps_hash=202fec06bc1a95087eddf6eec6ca54f966e7b43b","202fec06bc1a95087eddf6eec6ca54f966e7b43b",4,5,2,3,1,1,2,3,4,5,2,3,1,NA,NA,NA,NA,1,2,NA,5,1,8,6,2,7,3,8,7,6,5,15,4,1,3,14,2,13,12,11,10,9,5,6,3,7,4,2,1,1,NA,2,NA,1,1,NA,NA,2,3,NA,NA,1,NA,"Independent","Moderate",1.0982494527555
"2",2023-06-06 16:17:38,2023-06-06 16:27:36,0,"162.229.192.132",100,597,1,2023-06-06 16:27:37,"R_2cckmEt9l27vHIF","","","","","34.0915","-118.1307","anonymous","EN",9,2,NA,NA,1,NA,NA,NA,"",2,8,5,49,1,"",2,"",5,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",3,4,3,2,NA,7,2,3,2,4,3,1,2,3,4,2,1,2,3,4,3,1,2,3,4,4,3,2,1,5,5,2,2,1,1,2,NA,2,2,2,3,3,2,2,3,3,3,3,3,4,2,2,3,3,2,2,2,NA,2,4,NA,1,2,NA,4,"Qual2515-0424-GenPop4K[ND]","17035","597","","","","","","38nLsqpS21olyiINJHE5a3","15311673","west","","1","","","","https://api.spectrumsurveys.com/surveydone?st=21&transaction_id=38nLsqpS21olyiINJHE5a3&ps_hash=7cf42b9f21d7e4d694eb8add43fa4312ff3d187e","7cf42b9f21d7e4d694eb8add43fa4312ff3d187e",5,4,2,3,1,1,3,2,4,5,2,3,1,NA,2,NA,NA,1,NA,NA,8,1,5,3,2,7,6,8,7,6,5,15,4,1,3,14,2,13,12,11,10,9,5,3,6,4,7,2,1,1,NA,2,1,NA,1,NA,NA,NA,3,NA,2,1,NA,"Independent","Moderate",1.0982494527555
"3",2023-06-06 16:17:44,2023-06-06 16:28:09,0,"15.181.199.246",100,624,1,2023-06-06 16:28:09,"R_1fiSVbp5MHbofSK","","","","","32.7797","-96.8022","anonymous","EN",4,2,1,NA,NA,NA,NA,NA,"",2,3,6,42,13,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",3,4,3,2,NA,NA,1,4,2,3,1,4,3,2,1,1,4,3,2,1,1,4,3,2,1,4,2,2,1,4,4,3,3,3,3,3,NA,3,3,2,2,3,3,3,2,3,2,2,3,2,3,2,3,3,3,2,3,NA,2,NA,3,1,NA,2,4,"Qual2515-0424-GenPop4K[ND]","17035","624","","","","","","1L0aN5PLuODAdZFGhuDm4n","15311673","west","","1","","","","https://api.spectrumsurveys.com/surveydone?st=21&transaction_id=1L0aN5PLuODAdZFGhuDm4n&ps_hash=096a047e688c679fda2cad73b10cf858257b2e2f","096a047e688c679fda2cad73b10cf858257b2e2f",2,5,4,3,1,1,3,4,2,5,2,3,1,NA,NA,NA,NA,1,2,NA,6,1,5,7,8,3,2,8,7,6,5,15,4,1,3,14,2,13,12,11,10,9,4,2,6,5,7,3,1,1,NA,2,NA,1,1,NA,2,NA,3,NA,NA,NA,1,"Independent","Moderate",1.0982494527555
"4",2023-06-06 16:18:20,2023-06-06 16:29:09,0,"24.90.28.25",100,649,1,2023-06-06 16:29:09,"R_1eJiioYG7yA4U9y","","","","","40.7787","-73.9132","anonymous","EN",9,2,1,NA,NA,NA,NA,NA,"",2,2,33,58,2,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",1,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",5,6,3,2,NA,1,1,2,1,1,2,4,3,2,1,2,4,3,2,1,2,4,3,2,1,4,3,4,1,6,5,1,1,2,2,4,NA,3,1,3,3,4,4,1,4,4,4,4,4,3,1,2,4,4,1,1,1,4,NA,4,NA,1,NA,3,1,"Qual2515-0424-GenPop4K[ND]","17035","649","","","","","","5iXfFcnN863U81ggZVAQcQ","15311673","northeast","","1","","","","https://api.spectrumsurveys.com/surveydone?st=21&transaction_id=5iXfFcnN863U81ggZVAQcQ&ps_hash=2485bef914fe3e753232671a5fea024a30c177dc","2485bef914fe3e753232671a5fea024a30c177dc",2,3,5,4,1,1,2,4,3,5,3,2,1,2,NA,NA,NA,1,NA,NA,2,1,8,3,4,7,6,8,7,6,5,15,4,1,3,14,2,13,12,11,10,9,3,4,2,7,6,5,1,1,2,NA,1,NA,1,NA,NA,NA,3,2,NA,NA,1,"Republican","Conservative",0.761339348690028
"5",2023-06-06 16:27:51,2023-06-06 16:33:07,0,"173.70.67.236",100,316,1,2023-06-06 16:33:08,"R_UXyit6jouNkTVvP","","","","","40.7467","-74.0574","anonymous","EN",9,1,1,NA,NA,NA,NA,NA,"",1,11,45,10,2,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",3,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",4,2,2,1,3,1,3,3,3,3,2,1,2,3,4,2,1,2,3,4,2,1,2,3,4,4,4,1,4,2,2,4,4,3,4,2,NA,2,1,1,1,1,1,1,2,1,1,1,2,2,3,3,2,2,3,3,3,3,NA,NA,3,1,2,NA,3,"Qual2515-0424-GenPop4K[ND]","17035","316","","","","","","6Rv6NQyTg7OMYlFnSCxT87","15311673","south","","1","","","","https://api.spectrumsurveys.com/surveydone?st=21&transaction_id=6Rv6NQyTg7OMYlFnSCxT87&ps_hash=1fad02cbaa5ea8be5d0402aa8341e05ac5aa3b94","1fad02cbaa5ea8be5d0402aa8341e05ac5aa3b94",2,3,5,4,1,1,4,2,3,5,2,3,1,2,NA,NA,NA,1,NA,NA,2,1,5,4,7,8,6,8,7,6,5,15,4,1,3,14,2,13,12,11,10,9,5,3,4,6,2,7,1,1,2,NA,NA,1,1,NA,NA,2,3,NA,NA,1,NA,"Democrat","Conservative",0.901271622867356
"6",2023-06-06 16:29:32,2023-06-06 16:34:17,0,"107.195.52.53",100,284,1,2023-06-06 16:34:18,"R_1nNJoUbLxG5zysY","","","","","30.4457","-91.1801","anonymous","EN",8,2,1,NA,NA,NA,NA,NA,"",2,5,19,49,14,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",3,4,2,2,NA,1,2,2,2,2,1,4,3,2,1,1,4,3,2,1,1,4,3,2,1,4,2,2,4,4,4,3,4,2,4,4,NA,2,3,2,2,3,3,2,3,3,3,3,3,3,2,3,2,2,1,1,3,NA,3,4,NA,1,1,NA,3,"Qual2515-0424-GenPop4K[ND]","17035","284","","","","","","60Qs2JnvUkmHcxUZsuTeAe","15311673","south","","1","","","","https://api.spectrumsurveys.com/surveydone?st=21&transaction_id=60Qs2JnvUkmHcxUZsuTeAe&ps_hash=2f2b09b8ff75d6b70f922426e825b196d6a8582b","2f2b09b8ff75d6b70f922426e825b196d6a8582b",4,5,2,3,1,1,4,2,3,5,3,2,1,NA,NA,2,NA,1,NA,NA,5,1,3,4,8,2,6,8,7,6,5,15,4,1,3,14,2,13,12,11,10,9,7,6,3,4,2,5,1,1,NA,2,1,NA,1,2,NA,NA,3,NA,NA,1,NA,"Independent","Moderate",1.0982494527555
"7",2023-06-06 16:22:12,2023-06-06 16:35:58,0,"172.58.148.103",100,825,1,2023-06-06 16:35:59,"R_1Nfier3xDkF4Nlg","","","","","36.1671","-86.7861","anonymous","EN",4,2,1,NA,NA,NA,NA,NA,"",1,4,15,65,5,"",16,"born again christian",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",5,7,5,2,NA,7,2,4,2,3,2,4,3,2,1,1,4,3,2,1,2,4,3,2,1,4,4,4,4,4,4,2,3,1,1,3,NA,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,1,NA,3,NA,3,1,NA,3,2,"Qual2515-0424-GenPop4K[ND]","17035","825","","","","","","0H24vq2trq1OwPOK99V0Ow","15311673","midwest","","1","","","","https://api.spectrumsurveys.com/surveydone?st=21&transaction_id=0H24vq2trq1OwPOK99V0Ow&ps_hash=a8732248e3ffa9f1561bbe6b0c58bd421aa30731","a8732248e3ffa9f1561bbe6b0c58bd421aa30731",3,5,4,2,1,1,4,3,2,5,2,3,1,NA,NA,NA,2,1,NA,NA,4,1,3,2,5,6,8,8,7,6,5,15,4,1,3,14,2,13,12,11,10,9,3,2,6,4,5,7,1,1,NA,2,NA,1,1,NA,NA,NA,3,NA,2,NA,1,"Republican","Conservative",0.761339348690028
"8",2023-06-06 16:24:56,2023-06-06 16:38:23,0,"37.19.199.217",100,807,1,2023-06-06 16:38:24,"R_1LMcQzwsK5eFxVL","","","","","40.7123","-74.0068","anonymous","EN",9,2,NA,NA,1,NA,NA,NA,"",1,5,39,13,5,"",5,"",NA,"",NA,"",NA,"",NA,"",7,"Cornerstone",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",2,2,4,2,NA,4,1,3,3,3,1,1,2,3,4,1,1,2,3,4,3,1,2,3,4,4,2,2,4,4,3,3,4,3,4,4,NA,2,3,3,3,4,4,2,4,4,3,4,4,4,2,2,3,3,1,1,2,4,NA,NA,3,1,NA,3,1,"Qual2515-0424-GenPop4K[ND]","17035","807","","","","","","6Rr9q69srMetYfnHjW7dne","15311673","northeast","","1","","","","https://api.spectrumsurveys.com/surveydone?st=21&transaction_id=6Rr9q69srMetYfnHjW7dne&ps_hash=7a046ef6c2f7de326b1ccce00a2eaf403271b518","7a046ef6c2f7de326b1ccce00a2eaf403271b518",5,4,2,3,1,1,4,2,3,5,3,2,1,NA,2,NA,NA,1,NA,NA,3,1,4,5,8,2,6,8,7,6,5,15,4,1,3,14,2,13,12,11,10,9,7,5,4,3,2,6,1,1,2,NA,NA,1,1,NA,NA,NA,3,2,NA,NA,1,"Democrat","Liberal",1.25845804478202
"9",2023-06-06 16:37:15,2023-06-06 16:41:54,0,"174.206.225.216",100,278,1,2023-06-06 16:41:55,"R_3j0Pqq1aPXxqGqY","","","","","40.7355","-74.3253","anonymous","EN",10,2,1,NA,NA,NA,NA,NA,"",2,12,33,36,5,"",16," None",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",4,6,2,1,1,1,3,4,1,4,1,1,2,3,4,1,1,2,3,4,2,1,2,3,4,4,3,1,4,4,4,2,2,1,2,5,NA,1,2,2,1,3,3,2,1,3,2,3,3,1,3,2,2,2,1,2,2,NA,2,4,NA,1,1,NA,1,"Qual2515-0424-GenPop4K[ND]","17035","278","","","","","","5jSiGtTZ9l86wiHBCZlXuf","15311673","northeast","","1","","","","https://api.spectrumsurveys.com/surveydone?st=21&transaction_id=5jSiGtTZ9l86wiHBCZlXuf&ps_hash=9b519e8b45750e8f73e8c9dc162af5282167c7b0","9b519e8b45750e8f73e8c9dc162af5282167c7b0",2,4,3,5,1,1,4,3,2,5,2,3,1,NA,NA,NA,NA,1,2,NA,6,1,7,8,5,2,3,8,7,6,5,15,4,1,3,14,2,13,12,11,10,9,2,7,5,6,3,4,1,1,NA,2,1,NA,1,NA,NA,2,3,NA,NA,1,NA,"Republican","Conservative",0.761339348690028
"10",2023-06-06 16:39:44,2023-06-06 16:47:06,0,"37.19.221.244",100,442,1,2023-06-06 16:47:07,"R_8GQyBjPpzFoAHGF","","","","","29.7646","-95.3657","anonymous","EN",7,1,1,NA,NA,NA,NA,NA,"",1,11,14,18,7,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",1,"",NA,"",NA,"",1,1,1,1,4,4,2,1,4,2,3,1,2,3,4,4,1,2,3,4,3,1,2,3,4,4,2,1,3,3,2,3,1,1,2,2,NA,2,1,1,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,1,2,2,NA,NA,3,1,NA,2,2,"Qual2515-0424-GenPop4K[ND]","17035","442","","","","","","7c8xoYvIa6n09T36AWuf20","15311673","midwest","","1","","","","https://api.spectrumsurveys.com/surveydone?st=21&transaction_id=7c8xoYvIa6n09T36AWuf20&ps_hash=2875906a0781017882b4098bb6cf954b67da519d","2875906a0781017882b4098bb6cf954b67da519d",2,4,5,3,1,1,2,3,4,5,2,3,1,NA,NA,2,NA,1,NA,NA,5,1,4,3,8,7,6,8,7,6,5,15,4,1,3,14,2,13,12,11,10,9,2,5,7,6,3,4,1,1,2,NA,NA,1,1,NA,NA,NA,3,NA,2,NA,1,"Democrat","Liberal",1.25845804478202
